,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
0,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
2,bethel,us,90.0,93.0,60.79,-161.76,51.8,51.8,6.93,1533668460
4,qaanaaq,gl,64.0,87.0,77.48,-69.36,39.25,39.25,2.95,1533671478
5,tuatapere,nz,88.0,100.0,-46.13,167.69,42.58,42.58,4.63,1533671478
6,bethel,us,90.0,93.0,60.79,-161.76,51.8,51.8,6.93,1533668460
7,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
8,yellowknife,ca,75.0,67.0,62.45,-114.38,60.8,60.8,12.75,1533668400
9,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
10,vestmannaeyjar,is,0.0,74.0,63.44,-20.27,53.29,53.29,20.51,1533671479
11,alofi,nu,40.0,56.0,-19.06,-169.92,71.6,71.6,9.17,1533668400
12,torbay,ca,75.0,73.0,47.66,-52.73,75.2,75.2,11.41,1533668400
13,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
14,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
15,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
16,kidal,ml,0.0,41.0,18.44,1.41,89.02,89.02,10.78,1533671481
17,san patricio,mx,75.0,70.0,19.22,-104.7,87.8,87.8,9.17,1533667260
18,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
20,peniche,pt,20.0,72.0,39.36,-9.38,68.0,68.0,16.11,1533670200
21,saint-philippe,re,90.0,56.0,-21.36,55.77,67.86,69.8,4.7,1533668400
22,kodiak,us,75.0,74.0,39.95,-94.76,80.6,80.6,5.82,1533667980
23,qaqortoq,gl,20.0,39.0,60.72,-46.03,62.6,62.6,5.82,1533667800
24,kulhudhuffushi,mv,80.0,100.0,6.62,73.07,82.09,82.09,19.62,1533671483
25,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
26,springbok,za,0.0,73.0,-29.67,17.88,33.67,33.67,8.77,1533671483
27,selkirk,ca,75.0,35.0,50.15,-96.88,87.8,87.8,13.87,1533668400
28,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
29,sambava,mg,0.0,100.0,-14.27,50.17,73.18,73.18,13.24,1533671484
30,tuatapere,nz,88.0,100.0,-46.13,167.69,42.58,42.58,4.63,1533671484
31,mandalgovi,mn,0.0,83.0,45.76,106.27,59.68,59.68,4.97,1533671485
32,kapaa,us,90.0,78.0,22.08,-159.32,80.76,82.4,18.34,1533668160
33,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
34,jamestown,sh,20.0,100.0,-15.94,-5.72,68.86,68.86,24.65,1533671481
35,posadas,ar,0.0,47.0,-27.37,-55.9,77.9,78.8,13.87,1533668400
36,faanui,pf,8.0,97.0,-16.48,-151.75,80.92,80.92,21.63,1533671486
37,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
38,whitehorse,ca,90.0,76.0,60.72,-135.06,57.2,57.2,11.41,1533668400
39,longyearbyen,sj,75.0,81.0,78.22,15.64,46.4,46.4,9.17,1533667800
40,talnakh,ru,12.0,80.0,69.49,88.39,46.54,46.54,10.89,1533671487
41,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
42,kinsale,ie,20.0,62.0,51.71,-8.52,59.0,59.0,11.41,1533668400
43,roebourne,au,0.0,50.0,-20.77,117.15,40.06,40.06,2.73,1533671487
44,atambua,id,0.0,100.0,-9.11,124.89,73.0,73.0,8.77,1533671488
45,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
46,sao filipe,cv,0.0,100.0,14.9,-24.5,75.97,75.97,8.55,1533671488
47,barrow,us,40.0,83.0,39.51,-90.4,77.0,77.0,6.93,1533670500
48,butaritari,ki,20.0,100.0,3.07,172.79,82.18,82.18,7.87,1533671489
49,ahuimanu,us,75.0,58.0,21.44,-157.84,82.99,84.2,11.41,1533668220
50,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
51,port-cartier,ca,90.0,93.0,50.03,-66.88,64.4,64.4,4.7,1533669900
52,barrhead,ca,0.0,58.0,54.12,-114.4,76.33,76.33,13.69,1533671490
53,witbank,za,8.0,35.0,-25.87,29.23,55.36,55.36,5.41,1533671441
54,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
56,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
58,rikitea,pf,44.0,100.0,-23.12,-134.97,73.99,73.99,6.98,1533671479
59,thompson,ca,90.0,100.0,55.74,-97.86,62.6,62.6,4.7,1533668400
60,tyup,kg,20.0,90.0,42.73,78.36,49.69,49.69,2.39,1533671491
61,hobart,au,75.0,62.0,-42.88,147.33,51.8,51.8,14.99,1533670200
62,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
63,sao miguel do araguaia,br,0.0,79.0,-13.28,-50.16,82.54,82.54,3.62,1533671492
64,bethel,us,90.0,93.0,60.79,-161.76,51.8,51.8,6.93,1533668460
65,punta arenas,cl,90.0,93.0,-53.16,-70.91,35.6,35.6,5.82,1533668400
66,nome,us,1.0,74.0,30.04,-94.42,84.27,91.4,4.7,1533669600
67,sao joao da barra,br,64.0,100.0,-21.64,-41.05,68.41,68.41,13.69,1533671492
68,bulgan,mn,0.0,96.0,48.81,103.53,51.04,51.04,2.39,1533671493
69,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
70,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
71,port hardy,ca,40.0,87.0,50.7,-127.42,55.4,55.4,4.7,1533668400
72,bredasdorp,za,80.0,87.0,-34.53,20.04,48.2,48.2,6.93,1533668400
73,hilo,us,90.0,61.0,19.71,-155.08,79.38,82.4,8.05,1533668160
74,fourmies,fr,0.0,39.0,50.02,4.05,83.73,86.0,4.7,1533669600
76,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
77,avarua,ck,90.0,94.0,-21.21,-159.78,69.8,69.8,4.7,1533668400
78,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
79,kaiu,ee,0.0,63.0,59.01,25.06,64.4,64.4,9.17,1533669600
80,ambon,id,40.0,94.0,-3.7,128.18,75.2,75.2,1.12,1533668400
81,general bravo,mx,24.0,43.0,25.79,-99.18,96.31,96.31,15.59,1533671495
82,geraldton,au,90.0,87.0,-28.77,114.6,50.0,50.0,9.17,1533670200
83,kailua,us,75.0,58.0,21.39,-157.74,82.99,84.2,11.41,1533668220
84,diego de almagro,cl,0.0,71.0,-26.39,-70.05,66.88,66.88,2.73,1533671496
85,tairua,nz,100.0,91.0,-37.02,175.85,55.09,55.09,5.86,1533671496
86,leningradskiy,ru,92.0,100.0,69.38,178.42,35.11,35.11,22.97,1533671497
87,taltal,cl,0.0,72.0,-25.41,-70.49,64.99,64.99,1.61,1533671497
88,hithadhoo,mv,92.0,100.0,-0.6,73.08,81.73,81.73,5.53,1533671497
89,bluff,nz,20.0,100.0,-46.6,168.33,48.79,48.79,4.74,1533671484
90,beauceville,ca,92.0,100.0,46.21,-70.77,67.24,67.24,3.62,1533671498
91,ugoofaaru,mv,48.0,100.0,5.67,73.0,82.09,82.09,19.62,1533671486
92,upernavik,gl,92.0,86.0,72.79,-56.15,42.31,42.31,6.08,1533671498
93,loreto,mx,68.0,56.0,22.27,-101.99,72.73,72.73,6.64,1533671498
94,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
95,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
96,husavik,is,90.0,93.0,66.04,-17.34,46.4,46.4,14.99,1533668400
97,nuuk,gl,75.0,42.0,64.17,-51.74,64.4,64.4,18.34,1533667800
98,palmer,us,90.0,93.0,61.6,-149.11,55.42,57.2,2.73,1533670440
99,north bend,us,1.0,77.0,43.41,-124.22,62.44,64.4,4.7,1533669300
100,puerto ayora,ec,12.0,92.0,-0.74,-90.35,72.82,72.82,13.69,1533671500
103,ushuaia,ar,20.0,69.0,-54.81,-68.31,37.4,37.4,2.95,1533668400
104,rundu,na,0.0,26.0,-17.91,19.77,68.32,68.32,8.99,1533671501
105,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
106,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
107,vaini,to,75.0,56.0,-21.2,-175.2,69.8,69.8,9.17,1533668400
108,port alfred,za,8.0,90.0,-33.59,26.89,56.71,56.71,22.41,1533671483
109,tuktoyaktuk,ca,75.0,76.0,69.44,-133.03,50.0,50.0,16.11,1533668400
